"","text"
"1","kuliah udah hampir tamat tapi sedikit kenangan sm tmn gara corona online trs best wishes to those amazing people"
"2","samsungid kasih adikku galaxya yg kece krn baterai nya mah jadi dia yg masih kuliah online gk bakal kuatir klo baterai habis biar dia makin fokus kuliah deh kalo lu apa dah juarta mygalaxywish samsungperfectgift galaxygifts"
"3","samsungid mygalaxywish ngasih adek galaxytabs buat dia kuliah online amp browsing karna layarnya yang lebar jadi lebih enak buat multitasking keren banget kan mybrokensidee samsungperfectgift galaxygifts"
"4","samsungid krn adek gua butuh galaxya yang baterai nya mah biar kalo kuliah online awet nggak kuatir hp mati segala makin keren dah pokoknya mygalaxywish samsungperfectgift galaxygifts yuk bisa ikutan ini juga kyujiinie"
"5","tbh kalo gue malah merasa lebih ok di kehidupan slowpaced padahal waktu itu kuliah online di kampung surprisingly kerjaan kelar kalo di jkt bawaannya udh butek duluan kerjaan ga kehandle keluar jam udh macet stress i dont think i want to live this way for much longer"
"6","belum diumumin ama korti w besok kuliah offline ap online hm"
"7","kamu pelamar beasiswa kip kuliah sudah tepat kamu gabung tea ui belajar online snbt cuma ribu kalau kamu benarbenar membutuhkan tea ui juga memberikan keringanan biaya dan bahkan beasiswa buruan hubungi "
"8","ddxmyoui heeseung rl mana main rp sibuk kuliah online"
"9","tp biasanya pake kacamata terutama semasa kuliah online tuh agakan lebih sering nangis keknya g ada tmn skelas yg ngeh kl aku zoom pake kacamata tuh krn mata bengkak habis nangis"
"10","satriajendral not bad but not good kuliah dbikin online sm para dosen garagara materi udh selesai tinggal uas padahal pen liat muka babubabu tercinta di kelas"
"11","samsungid mau kasih sepupu gua yg masih suka kuliah online galaxytabs yg kece banget dan layar nya lebar biar makin keliatan jelas penjelasan dosen nya so makin fokus dia kuliahnya mygalaxywish samsungperfectgift galaxygifts join kuy lah sini kyujiinie"
"12","utfess kan yg ijin ke instansi pihak ut nya lagian ya kuliah di ut ga cuma online yg anak pgsd sama pgpaud tuh offline tau dan yaaa utm tu emg dari dulu udah ada gara pandemi aja jadi uas the"
"13","sundvlowers kl lu ada kesibukan lain selain kuliah misal kerja online aja cuma kalo ngga ada ya offline aja lebih masuk dan lebih enak aja menurut gua ketemu temen terus ngobrol langsung sm dosennya"
"14","binus sender masi ga siap kuliah onsite masa masi nyaman online siapa yg sama kaya sender"
"15","cm aku tuh jujur suka cape kuliah online malem"
"16","samsungid ngasih adek gua galaxya yg amat kece karena baterai mah dan mp dual camera yg pasti buat dia kuliah online ini bakal aman krn baterai tahan seharian gak perlu kuatir dah mygalaxywish samsungperfectgift galaxygifts join yuk lah kyujiinie"
